195,Kantonsratswahlen Zug,2018-10-07,https://www.smartvote.ch/18_zg_leg/election/index
196,Regierungsratswahlen Kanton Zug,2018-10-07,https://www.smartvote.ch/18_zg_exe/election/index
197,Wahlen Grosser Gemeinderat Stadt Zug,2018-10-07,https://www.smartvote.ch/18_st_zug_leg/election/index
198,Stadtratswahlen Stadt Zug,2018-10-07,https://www.smartvote.ch/18_st_zug_exe/election/index
199,Stadtratswahlen Thun,2018-11-25,https://www.smartvote.ch/18_th_leg/election/index
200,Regierungsratswahlen Luzern,2019-03-31,https://www.smartvote.ch/19_lu_exe/election/index
201,Kantonsratswahlen Luzern,2019-03-31,https://www.smartvote.ch/19_lu_leg/election/index
202,Landratswahlen Basel-Landschaft,2019-03-31,https://www.smartvote.ch/19_bl_leg/election/index
203,Regierungsratswahlen Basel-Landschaft,2019-03-31,https://www.smartvote.ch/19_bl_exe/election/index
204,Kantonsratswahlen Zürich,2019-03-24,https://www.smartvote.ch/19_zh_leg/election/index
205,Regierungsratswahlen Zürich,2019-03-24,https://www.smartvote.ch/19_zh_exe/election/index
206,Gemeinderatswahlen Kreuzlingen,2019-03-31,https://www.smartvote.ch/19_kr_leg/election/index
207,Wahl zur Erstellung von spider-Grafiken,2019-03-31,https://www.smartvote.ch/test_nebs/election/index
208,Elezioni al Gran Consiglio ticinese,2019-04-07,https://www.smartvote.ch/19_ti_leg/election/index
209,Elezioni al Consiglio di Stato ticinese,2019-04-07,https://www.smartvote.ch/19_ti_exe/election/index
210,Regierungsratswahlen Luzern 2. Wahlgang,2019-05-19,https://www.smartvote.ch/19_lu_exe2/election/index
